Aegiphila_longifolia,Aegiphila_aculeifera,Aegiphila_wigandioides
Agastache_pallidiflora,Agastache_aurantiaca,Agastache_wrightii
Anisomeles_malabarica,Anisomeles_candicans,Anisomeles_salviifolia
Asterohyptis_stellulata,Asterohyptis_mociniana,Asterohyptis_seemannii
Ballota_nigra,Ballota_acetabulosa,Ballota_saxatilis
Ballota_pseudodictamnus,Ballota_acetabulosa,Ballota_saxatilis
Ballota_undulata,Ballota_acetabulosa,Ballota_saxatilis
Bystropogon_beltraniae,Bystropogon_canariensis,Bystropogon_wildpretii
Callicarpa_havilandii,Callicarpa_aculeolata,Callicarpa_woodii
Callicarpa_oshimensis,Callicarpa_aculeolata,Callicarpa_woodii
Clerodendrum_bethuneanum,Clerodendrum_adenophysum,Clerodendrum_yunnanense
Clerodendrum_chinense,Clerodendrum_adenophysum,Clerodendrum_yunnanense
Clerodendrum_hildebrandtii,Clerodendrum_adenophysum,Clerodendrum_yunnanense
Clinopodium_chinense,Clinopodium_abyssinicum,Clinopodium_weberbaueri
Clinopodium_chinense_var._shibetchense,Clinopodium_abyssinicum,Clinopodium_weberbaueri
Clinopodium_graveolens,Clinopodium_abyssinicum,Clinopodium_weberbaueri
Clinopodium_nepeta_subsp._glandulosum,Clinopodium_abyssinicum,Clinopodium_weberbaueri
Clinopodium_obovatum,Clinopodium_abyssinicum,Clinopodium_weberbaueri
Colquhounia_compta,Colquhounia_coccinea,Colquhounia_elegans
Colquhounia_seguinii,Colquhounia_coccinea,Colquhounia_elegans
Colquhounia_vestita,Colquhounia_coccinea,Colquhounia_elegans
Comanthosphace_stellipila,Comanthosphace_formosana,Comanthosphace_japonica
Cyclotrichium_depauperatum,Cyclotrichium_leucotrichum,Cyclotrichium_straussii
Cyclotrichium_haussknechtii,Cyclotrichium_leucotrichum,Cyclotrichium_straussii
Dracocephalum_parviflorum,Dracocephalum_aitchisonii,Dracocephalum_wallichii
Elsholtzia_splendens,Elsholtzia_angustifolia,Elsholtzia_winitiana
Eriophyton_rhomboideum,Eriophyton_nepalense,Eriophyton_wallichii
Eriophyton_tuberosum,Eriophyton_nepalense,Eriophyton_wallichii
Galeopsis_ladanum,Galeopsis_bifida,Galeopsis_tetrahit
Galeopsis_ludwigii,Galeopsis_bifida,Galeopsis_tetrahit
Galeopsis_pubescens,Galeopsis_bifida,Galeopsis_tetrahit
Galeopsis_pyrenaica,Galeopsis_bifida,Galeopsis_tetrahit
Galeopsis_reuteri,Galeopsis_bifida,Galeopsis_tetrahit
Galeopsis_segetum,Galeopsis_bifida,Galeopsis_tetrahit
Galeopsis_wirtgenii,Galeopsis_bifida,Galeopsis_tetrahit
Gomphostemma_strobilinum,Gomphostemma_chinense,Gomphostemma_thomsonii
Hyptis_leptostachys,Hyptis_actinocephala,Hyptis_xanthiocephala
Hyptis_nepetifolia,Hyptis_actinocephala,Hyptis_xanthiocephala
Hyssopus_officinalis_subsp._montanus,Hyssopus_officinalis,Hyssopus_seravschanicus
Isodon_grandifolius,Isodon_adenanthus,Isodon_wikstroemioides
Isodon_setschwanensis,Isodon_adenanthus,Isodon_wikstroemioides
Lamium_galeobdolon,Lamium_album,Lamium_tomentosum
Lamium_garganicum,Lamium_album,Lamium_tomentosum
Lavandula_antineae,Lavandula_angustifolia,Lavandula_viridis
Lavandula_canariensis,Lavandula_angustifolia,Lavandula_viridis
Lavandula_dhofarensis,Lavandula_angustifolia,Lavandula_viridis
Lavandula_mairei,Lavandula_angustifolia,Lavandula_viridis
Leonurus_macranthus,Leonurus_cardiaca,Leonurus_turkestanicus
Lepechinia_glomerata,Lepechinia_bella,Lepechinia_yecorana
Leucas_decemdentata,Leucas_abyssinica,Leucas_zeylanica
Leucas_deflexa,Leucas_abyssinica,Leucas_zeylanica
Leucas_glabrata,Leucas_abyssinica,Leucas_zeylanica
Leucas_inflata,Leucas_abyssinica,Leucas_zeylanica
Leucas_jamesii,Leucas_abyssinica,Leucas_zeylanica
Leucas_stachydiformis,Leucas_abyssinica,Leucas_zeylanica
Leucas_urticifolia,Leucas_abyssinica,Leucas_zeylanica
Leucas_volkensii,Leucas_abyssinica,Leucas_zeylanica
Marsypianthes_hassleri,Marsypianthes_burchellii,Marsypianthes_montana
Meehania_cordata,Meehania_fargesii,Meehania_urticifolia
Mentha_cardiaca,Mentha_aquatica,Mentha_villosa-nervata
Mentha_piperita,Mentha_aquatica,Mentha_villosa-nervata
Monardella_breweri,Monardella_arizonica,Monardella_viridis
Nepeta_congesta,Nepeta_adenophyta,Nepeta_wilsonii
Nepeta_faasenii,Nepeta_adenophyta,Nepeta_wilsonii
Nepeta_nepetella_subsp._murcica,Nepeta_adenophyta,Nepeta_wilsonii
Nepeta_sulphurea,Nepeta_adenophyta,Nepeta_wilsonii
Ocimum_africanum,Ocimum_albostellatum,Ocimum_waterbergense
Ocimum_forskolei,Ocimum_albostellatum,Ocimum_waterbergense
Ocimum_forsskaolii,Ocimum_albostellatum,Ocimum_waterbergense
Otostegia_fruticosa,Otostegia_erlangeri,Otostegia_modesta
Otostegia_tomentosa,Otostegia_erlangeri,Otostegia_modesta
Oxera_baladica,Oxera_balansae,Oxera_vanuatuensis
Oxera_neriifolia,Oxera_balansae,Oxera_vanuatuensis
Oxera_pulchella,Oxera_balansae,Oxera_vanuatuensis
Oxera_sp,Oxera_balansae,Oxera_vanuatuensis
Phlomis_bovei,Phlomis_angustissima,Phlomis_viscosa
Phlomis_younghusbandii,Phlomis_angustissima,Phlomis_viscosa
Phlomoides_tatsienensis,Phlomoides_adenantha,Phlomoides_vulnerans
Phlomoides_umbrosa,Phlomoides_adenantha,Phlomoides_vulnerans
Phyllostegia_glabra,Phyllostegia_ambigua,Phyllostegia_wawrana
Phyllostegia_parviflora,Phyllostegia_ambigua,Phyllostegia_wawrana
Platostoma_calcaratum,Platostoma_africanum,Platostoma_thymifolium
Plectranthus_barbatus_var._grandis,Plectranthus_acaulis,Plectranthus_zuluensis
Plectranthus_edulis,Plectranthus_acaulis,Plectranthus_zuluensis
Plectranthus_hadiensis,Plectranthus_acaulis,Plectranthus_zuluensis
Plectranthus_melleri,Plectranthus_acaulis,Plectranthus_zuluensis
Pogostemon_benghalensis,Pogostemon_amaranthoides,Pogostemon_yatabeanus
Pogostemon_hirsutus,Pogostemon_amaranthoides,Pogostemon_yatabeanus
Pogostemon_wightii,Pogostemon_amaranthoides,Pogostemon_yatabeanus
Premna_acuminata,Premna_odorata,Premna_subglabra
Premna_acutata,Premna_odorata,Premna_subglabra
Premna_angolensis,Premna_odorata,Premna_subglabra
Premna_balansae,Premna_odorata,Premna_subglabra
Premna_barbata,Premna_odorata,Premna_subglabra
Premna_bequaertii,Premna_odorata,Premna_subglabra
Premna_bracteata,Premna_odorata,Premna_subglabra
Premna_chevalieri,Premna_odorata,Premna_subglabra
Premna_chrysoclada,Premna_odorata,Premna_subglabra
Premna_confinis,Premna_odorata,Premna_subglabra
Premna_congolensis,Premna_odorata,Premna_subglabra
Premna_cordifolia,Premna_odorata,Premna_subglabra
Premna_coriacea,Premna_odorata,Premna_subglabra
Premna_corymbosa,Premna_odorata,Premna_subglabra
Premna_dallachyana,Premna_odorata,Premna_subglabra
Premna_decaryi,Premna_odorata,Premna_subglabra
Premna_decurrens,Premna_odorata,Premna_subglabra
Premna_discolor,Premna_odorata,Premna_subglabra
Premna_dubia,Premna_odorata,Premna_subglabra
Premna_esculenta,Premna_odorata,Premna_subglabra
Premna_foetida,Premna_odorata,Premna_subglabra
Premna_fohaiensis,Premna_odorata,Premna_subglabra
Premna_fordii,Premna_odorata,Premna_subglabra
Premna_fulva,Premna_odorata,Premna_subglabra
Premna_garrettii,Premna_odorata,Premna_subglabra
Premna_gracillima,Premna_odorata,Premna_subglabra
Premna_hans-joachimii,Premna_odorata,Premna_subglabra
Premna_herbacea,Premna_odorata,Premna_subglabra
Premna_hildebrandtii,Premna_odorata,Premna_subglabra
Premna_hispida,Premna_odorata,Premna_subglabra
Premna_humbertii,Premna_odorata,Premna_subglabra
Premna_hutchinsonii,Premna_odorata,Premna_subglabra
Premna_hylandiana,Premna_odorata,Premna_subglabra
Premna_interrupta,Premna_odorata,Premna_subglabra
Premna_lepidella,Premna_odorata,Premna_subglabra
Premna_ligustroides,Premna_odorata,Premna_subglabra
Premna_limbata,Premna_odorata,Premna_subglabra
Premna_longiacuminata,Premna_odorata,Premna_subglabra
Premna_longipetiolata,Premna_odorata,Premna_subglabra
Premna_lucens,Premna_odorata,Premna_subglabra
Premna_lucidula,Premna_odorata,Premna_subglabra
Premna_madagascariensis,Premna_odorata,Premna_subglabra
Premna_matadiensis,Premna_odorata,Premna_subglabra
Premna_maxima,Premna_odorata,Premna_subglabra
Premna_mekongensis,Premna_odorata,Premna_subglabra
Premna_membranifolia,Premna_odorata,Premna_subglabra
Premna_microphylla,Premna_odorata,Premna_subglabra
