Ajugoideae.tre,Teucrium_halacsyanum,Faradaya_ovalifolia
Callicarpoideae.tre,Callicarpa_erioclona,Callicarpa_oshimensis
Lamioideae.tre,Lamium_multifidum,Paralamium_griffithii
Npetoideae.tre,Ziziphora_hispanica,Perillula_reptans
Peronematiodeae.tre,Hymenopyramis_siamensis,Petraeovitex_wolfei
Premnoideae.tre,Premna_subglabra,Premna_yunnanensis
Prostantheroideae.tre,Westringia_longifolia,Newcastelia_velutina
Scutellaroideae.tre,Scutellaria_rehderiana,Renschia_heterotypica
Symphorematoideae.tre,Sphenodesme_mollis,Symphorema_luzonicum
Tectenoideae.tre,Gmelina_arborea,Tectona_philippinensis
Viticoideae.tre,Vitex_sampsonii,Vitex_madiensis
